i,p_i=(i-0.5)/n,Z score,Fixation Count,Standardized  FC,Forward Saccade Count,Standard FSC,Backward Saccade Count,Standard BSC,Saccade Veloiy,Standard SV
47,0.156040268,-1.010866067,47,-0.977585922,34,-0.977330595,12,-0.841837534,0.219555707,-1.023465877
48,0.159395973,-0.996943478,47,-0.977585922,34,-0.977330595,12,-0.841837534,0.220526787,-1.014052147
49,0.162751678,-0.983211501,50,-0.93213809,34,-0.977330595,12,-0.841837534,0.221272151,-1.006826527
50,0.166107383,-0.969662466,50,-0.93213809,34,-0.977330595,13,-0.790482859,0.224140586,-0.979019681
51,0.169463087,-0.956289141,51,-0.916988812,35,-0.957027736,13,-0.790482859,0.224355101,-0.976940155
52,0.172818792,-0.943084694,51,-0.916988812,35,-0.957027736,13,-0.790482859,0.225173078,-0.969010618
53,0.176174497,-0.930042668,52,-0.901839535,36,-0.936724876,13,-0.790482859,0.225696645,-0.963935116
54,0.179530201,-0.917156949,52,-0.901839535,36,-0.936724876,13,-0.790482859,0.225949063,-0.961488156
55,0.182885906,-0.904421745,52,-0.901839535,37,-0.916422017,13,-0.790482859,0.226314154,-0.957948933
56,0.186241611,-0.891831562,54,-0.87154098,37,-0.916422017,13,-0.790482859,0.226756997,-0.953655977
57,0.189597315,-0.879381184,54,-0.87154098,37,-0.916422017,13,-0.790482859,0.226773158,-0.953499311
58,0.19295302,-0.86706565,54,-0.87154098,38,-0.896119158,13,-0.790482859,0.226971591,-0.951575685
59,0.196308725,-0.854880242,55,-0.856391703,38,-0.896119158,13,-0.790482859,0.226986178,-0.951434277
60,0.19966443,-0.842820468,56,-0.841242425,38,-0.896119158,13,-0.790482859,0.227911197,-0.942467066
61,0.203020134,-0.830882044,56,-0.841242425,39,-0.875816298,14,-0.739128185,0.229855279,-0.923620975
62,0.206375839,-0.819060884,57,-0.826093148,39,-0.875816298,14,-0.739128185,0.230422374,-0.918123509
63,0.209731544,-0.807353086,57,-0.826093148,39,-0.875816298,14,-0.739128185,0.230442424,-0.917929143
64,0.213087248,-0.795754923,58,-0.81094387,41,-0.83521058,14,-0.739128185,0.232521749,-0.897771995
65,0.216442953,-0.784262828,58,-0.81094387,41,-0.83521058,14,-0.739128185,0.233472442,-0.888555898
66,0.219798658,-0.772873388,59,-0.795794593,41,-0.83521058,14,-0.739128185,0.234305276,-0.880482337
67,0.223154362,-0.761583334,59,-0.795794593,42,-0.81490772,14,-0.739128185,0.234821029,-0.875482584
68,0.226510067,-0.750389531,59,-0.795794593,42,-0.81490772,15,-0.68777351,0.235130023,-0.872487171
69,0.229865772,-0.739288973,61,-0.765496038,42,-0.81490772,15,-0.68777351,0.235348409,-0.870370119
70,0.233221477,-0.728278774,61,-0.765496038,43,-0.794604861,15,-0.68777351,0.238487801,-0.839936594
71,0.236577181,-0.717356161,62,-0.750346761,43,-0.794604861,15,-0.68777351,0.239357144,-0.831509111
72,0.239932886,-0.706518468,62,-0.750346761,43,-0.794604861,16,-0.636418836,0.239575963,-0.829387861
73,0.243288591,-0.695763132,62,-0.750346761,46,-0.733696283,16,-0.636418836,0.240124509,-0.824070211
74,0.246644295,-0.685087685,66,-0.689749651,46,-0.733696283,16,-0.636418836,0.242171489,-0.804226618
75,0.25,-0.67448975,66,-0.689749651,46,-0.733696283,16,-0.636418836,0.245440244,-0.772539037
76,0.253355705,-0.663967036,67,-0.674600374,46,-0.733696283,16,-0.636418836,0.245947985,-0.767616954
77,0.256711409,-0.653517333,67,-0.674600374,47,-0.713393424,17,-0.585064161,0.246447054,-0.762778938
78,0.260067114,-0.64313851,67,-0.674600374,47,-0.713393424,17,-0.585064161,0.250081057,-0.727550613
79,0.263422819,-0.632828509,68,-0.659451096,47,-0.713393424,17,-0.585064161,0.253375647,-0.695612585
80,0.266778523,-0.622585341,69,-0.644301819,48,-0.693090564,17,-0.585064161,0.253434181,-0.695045152
81,0.270134228,-0.612407084,69,-0.644301819,48,-0.693090564,17,-0.585064161,0.254892366,-0.680909386
82,0.273489933,-0.602291879,69,-0.644301819,48,-0.693090564,17,-0.585064161,0.255353907,-0.676435169
83,0.276845638,-0.592237928,69,-0.644301819,49,-0.672787705,17,-0.585064161,0.258676464,-0.644226027
84,0.280201342,-0.582243488,70,-0.629152541,49,-0.672787705,18,-0.533709487,0.258859471,-0.642451942
85,0.283557047,-0.572306873,70,-0.629152541,51,-0.632181986,18,-0.533709487,0.258908689,-0.641974819
86,0.286912752,-0.562426448,71,-0.614003264,51,-0.632181986,18,-0.533709487,0.261902532,-0.612952258
87,0.290268456,-0.552600627,72,-0.598853987,51,-0.632181986,18,-0.533709487,0.26268842,-0.605333794
88,0.293624161,-0.54282787,72,-0.598853987,51,-0.632181986,18,-0.533709487,0.263457804,-0.597875322
89,0.296979866,-0.533106685,72,-0.598853987,52,-0.611879127,18,-0.533709487,0.264186678,-0.590809558
90,0.30033557,-0.523435621,72,-0.598853987,52,-0.611879127,18,-0.533709487,0.268156469,-0.552326076
91,0.303691275,-0.513813269,73,-0.583704709,52,-0.611879127,18,-0.533709487,0.269654278,-0.537806192
92,0.30704698,-0.504238257,73,-0.583704709,52,-0.611879127,18,-0.533709487,0.269956121,-0.534880101
93,0.310402685,-0.494709253,74,-0.568555432,52,-0.611879127,18,-0.533709487,0.271633382,-0.518620594
94,0.313758389,-0.48522496,74,-0.568555432,52,-0.611879127,19,-0.482354812,0.272134588,-0.513761862
95,0.317114094,-0.475784115,77,-0.523107599,53,-0.591576267,19,-0.482354812,0.272700008,-0.508280634
96,0.320469799,-0.466385488,77,-0.523107599,53,-0.591576267,19,-0.482354812,0.273422748,-0.501274332
97,0.323825503,-0.45702788,77,-0.523107599,54,-0.571273408,19,-0.482354812,0.274103121,-0.49467874
98,0.327181208,-0.447710121,77,-0.523107599,54,-0.571273408,19,-0.482354812,0.27468536,-0.489034467
99,0.330536913,-0.438431073,77,-0.523107599,54,-0.571273408,19,-0.482354812,0.274840721,-0.487528385
100,0.333892617,-0.429189622,78,-0.507958322,55,-0.550970549,19,-0.482354812,0.275320775,-0.482874702
101,0.337248322,-0.419984681,78,-0.507958322,55,-0.550970549,19,-0.482354812,0.275644859,-0.479733005
102,0.340604027,-0.41081519,79,-0.492809045,55,-0.550970549,19,-0.482354812,0.277470638,-0.462033752
103,0.343959732,-0.401680112,79,-0.492809045,55,-0.550970549,19,-0.482354812,0.279372012,-0.443601676
104,0.347315436,-0.392578431,80,-0.477659767,56,-0.530667689,20,-0.431000138,0.281784735,-0.42021254
105,0.350671141,-0.383509157,80,-0.477659767,56,-0.530667689,20,-0.431000138,0.282249579,-0.415706304
106,0.354026846,-0.374471319,80,-0.477659767,57,-0.51036483,20,-0.431000138,0.283020766,-0.408230353
107,0.35738255,-0.365463965,81,-0.46251049,57,-0.51036483,20,-0.431000138,0.283374916,-0.404797194
108,0.360738255,-0.356486167,81,-0.46251049,57,-0.51036483,20,-0.431000138,0.28396516,-0.39907532
109,0.36409396,-0.34753701,81,-0.46251049,57,-0.51036483,20,-0.431000138,0.285132324,-0.387760735
110,0.367449664,-0.3386156,83,-0.432211935,57,-0.51036483,20,-0.431000138,0.285443105,-0.384747999
111,0.370805369,-0.329721061,83,-0.432211935,58,-0.490061971,21,-0.379645463,0.286094561,-0.378432731
112,0.374161074,-0.320852532,83,-0.432211935,58,-0.490061971,21,-0.379645463,0.289004585,-0.350222718
113,0.377516779,-0.312009166,83,-0.432211935,58,-0.490061971,21,-0.379645463,0.290392499,-0.336768165
114,0.380872483,-0.303190135,84,-0.417062658,61,-0.429153393,21,-0.379645463,0.291170962,-0.32922168
115,0.384228188,-0.294394622,84,-0.417062658,61,-0.429153393,21,-0.379645463,0.291500511,-0.326027005
116,0.387583893,-0.285621825,84,-0.417062658,61,-0.429153393,21,-0.379645463,0.29329774,-0.308604518
117,0.390939597,-0.276870956,84,-0.417062658,62,-0.408850533,21,-0.379645463,0.293718532,-0.304525326
118,0.394295302,-0.268141238,85,-0.40191338,62,-0.408850533,21,-0.379645463,0.295413509,-0.288094079
119,0.397651007,-0.259431908,85,-0.40191338,62,-0.408850533,21,-0.379645463,0.29725787,-0.270214691
120,0.401006711,-0.250742212,87,-0.371614825,62,-0.408850533,22,-0.328290789,0.298667148,-0.256553034
121,0.404362416,-0.242071408,87,-0.371614825,63,-0.388547674,22,-0.328290789,0.299687426,-0.246662375
122,0.407718121,-0.233418767,87,-0.371614825,63,-0.388547674,22,-0.328290789,0.300454003,-0.239231114
123,0.411073826,-0.224783566,87,-0.371614825,64,-0.368244815,22,-0.328290789,0.300619442,-0.237627334
124,0.41442953,-0.216165095,88,-0.356465548,64,-0.368244815,22,-0.328290789,0.301747531,-0.226691547
125,0.417785235,-0.20756265,89,-0.34131627,65,-0.347941955,22,-0.328290789,0.301796422,-0.226217593
126,0.42114094,-0.198975539,89,-0.34131627,66,-0.327639096,22,-0.328290789,0.305462541,-0.190677933
127,0.424496644,-0.190403075,90,-0.326166993,66,-0.327639096,22,-0.328290789,0.305532829,-0.189996555
128,0.427852349,-0.18184458,90,-0.326166993,67,-0.307336237,22,-0.328290789,0.306375907,-0.181823687
129,0.431208054,-0.173299385,92,-0.295868438,67,-0.307336237,23,-0.276936114,0.306933438,-0.176418936
130,0.434563758,-0.164766825,92,-0.295868438,68,-0.287033377,23,-0.276936114,0.307068422,-0.17511039
131,0.437919463,-0.156246245,92,-0.295868438,68,-0.287033377,23,-0.276936114,0.307159465,-0.174227811
132,0.441275168,-0.147736993,93,-0.280719161,68,-0.287033377,23,-0.276936114,0.309845385,-0.148190281
133,0.444630872,-0.139238426,93,-0.280719161,68,-0.287033377,23,-0.276936114,0.310554965,-0.141311554
134,0.447986577,-0.130749903,94,-0.265569883,70,-0.246427659,23,-0.276936114,0.311340934,-0.133692306
135,0.451342282,-0.122270791,94,-0.265569883,70,-0.246427659,23,-0.276936114,0.31199854,-0.127317419
136,0.454697987,-0.113800461,96,-0.235271329,70,-0.246427659,23,-0.276936114,0.312181644,-0.125542393
137,0.458053691,-0.105338288,97,-0.220122051,71,-0.226124799,23,-0.276936114,0.312570784,-0.121770038
138,0.461409396,-0.096883651,98,-0.204972774,71,-0.226124799,23,-0.276936114,0.31259987,-0.121488076
139,0.464765101,-0.088435935,98,-0.204972774,73,-0.185519081,24,-0.225581439,0.313387211,-0.113855527
140,0.468120805,-0.079994525,98,-0.204972774,73,-0.185519081,24,-0.225581439,0.313453862,-0.113209407
141,0.47147651,-0.071558811,99,-0.189823496,73,-0.185519081,24,-0.225581439,0.314482533,-0.103237385
142,0.474832215,-0.063128186,100,-0.174674219,74,-0.165216221,24,-0.225581439,0.31507761,-0.09746866
143,0.478187919,-0.054702047,101,-0.159524941,75,-0.144913362,24,-0.225581439,0.316558074,-0.083116919
144,0.481543624,-0.046279789,103,-0.129226387,75,-0.144913362,24,-0.225581439,0.31667031,-0.082028894
145,0.484899329,-0.037860813,103,-0.129226387,76,-0.124610502,24,-0.225581439,0.318806464,-0.061320841
146,0.488255034,-0.029444519,103,-0.129226387,76,-0.124610502,24,-0.225581439,0.320918073,-0.040850729
147,0.491610738,-0.021030311,104,-0.114077109,76,-0.124610502,24,-0.225581439,0.32246049,-0.025898411
148,0.494966443,-0.012617591,104,-0.114077109,77,-0.104307643,25,-0.174226765,0.323408637,-0.016706996
149,0.498322148,-0.004205765,105,-0.098927832,78,-0.084004784,25,-0.174226765,0.323849979,-0.01242859
150,0.501677852,0.004205765,106,-0.083778554,78,-0.084004784,25,-0.174226765,0.32474227,-0.003778648
151,0.505033557,0.012617591,107,-0.068629277,80,-0.043399065,25,-0.174226765,0.325400052,0.002597945
152,0.508389262,0.021030311,107,-0.068629277,80,-0.043399065,25,-0.174226765,0.32619034,0.010259063
153,0.511744966,0.029444519,107,-0.068629277,81,-0.023096206,25,-0.174226765,0.326428179,0.012564694
154,0.515100671,0.037860813,107,-0.068629277,81,-0.023096206,25,-0.174226765,0.327149094,0.019553303
155,0.518456376,0.046279789,107,-0.068629277,81,-0.023096206,25,-0.174226765,0.327938942,0.027210155
156,0.521812081,0.054702047,108,-0.053479999,81,-0.023096206,25,-0.174226765,0.327943041,0.027249891
157,0.525167785,0.063128186,108,-0.053479999,82,-0.002793346,26,-0.12287209,0.328147379,0.02923076
158,0.52852349,0.071558811,108,-0.053479999,82,-0.002793346,26,-0.12287209,0.329085308,0.038323122
159,0.531879195,0.079994525,108,-0.053479999,82,-0.002793346,26,-0.12287209,0.330186355,0.048996762
160,0.535234899,0.088435935,109,-0.038330722,83,0.017509513,26,-0.12287209,0.330556958,0.052589418
161,0.538590604,0.096883651,109,-0.038330722,83,0.017509513,26,-0.12287209,0.330669767,0.053682998
162,0.541946309,0.105338288,109,-0.038330722,83,0.017509513,26,-0.12287209,0.331737875,0.064037325
163,0.545302013,0.113800461,110,-0.023181445,84,0.037812372,26,-0.12287209,0.334070376,0.086648782
164,0.548657718,0.122270791,111,-0.008032167,84,0.037812372,26,-0.12287209,0.334165154,0.087567568
165,0.552013423,0.130749903,113,0.022266388,85,0.058115232,26,-0.12287209,0.335471223,0.100228709
166,0.555369128,0.139238426,114,0.037415665,85,0.058115232,26,-0.12287209,0.33583836,0.103787765
167,0.558724832,0.147736993,114,0.037415665,85,0.058115232,27,-0.071517416,0.337327971,0.118228177
168,0.562080537,0.156246245,114,0.037415665,86,0.078418091,27,-0.071517416,0.338095977,0.125673291
169,0.565436242,0.164766825,115,0.052564942,88,0.11902381,27,-0.071517416,0.339159121,0.135979497
170,0.568791946,0.173299385,115,0.052564942,88,0.11902381,27,-0.071517416,0.339863791,0.142810626
171,0.572147651,0.18184458,115,0.052564942,89,0.139326669,27,-0.071517416,0.341354939,0.157265938
172,0.575503356,0.190403075,116,0.06771422,89,0.139326669,27,-0.071517416,0.341739919,0.160997966
173,0.57885906,0.198975539,116,0.06771422,89,0.139326669,27,-0.071517416,0.341991959,0.163441262
174,0.582214765,0.20756265,116,0.06771422,89,0.139326669,27,-0.071517416,0.342129754,0.164777058
175,0.58557047,0.216165095,117,0.082863497,90,0.159629528,27,-0.071517416,0.34296412,0.172865471
176,0.588926174,0.224783566,117,0.082863497,90,0.159629528,27,-0.071517416,0.344790708,0.190572566
177,0.592281879,0.233418767,118,0.098012775,90,0.159629528,28,-0.020162741,0.345723126,0.199611503
178,0.595637584,0.242071408,118,0.098012775,91,0.179932388,29,0.031191933,0.345853624,0.200876562
179,0.598993289,0.250742212,118,0.098012775,91,0.179932388,29,0.031191933,0.346687383,0.20895909
180,0.602348993,0.259431908,118,0.098012775,91,0.179932388,29,0.031191933,0.348767361,0.229122569
181,0.605704698,0.268141238,119,0.113162052,91,0.179932388,29,0.031191933,0.348927672,0.230676637
182,0.609060403,0.276870956,119,0.113162052,92,0.200235247,29,0.031191933,0.34906428,0.232000926
183,0.612416107,0.285621825,121,0.143460607,92,0.200235247,29,0.031191933,0.349330884,0.234585407
184,0.615771812,0.294394622,121,0.143460607,92,0.200235247,29,0.031191933,0.350086144,0.24190696
185,0.619127517,0.303190135,122,0.158609884,92,0.200235247,29,0.031191933,0.350269874,0.243688054
186,0.622483221,0.312009166,123,0.173759162,92,0.200235247,30,0.082546608,0.350988688,0.250656296
187,0.625838926,0.320852532,123,0.173759162,93,0.220538106,30,0.082546608,0.351817492,0.258690791
188,0.629194631,0.329721061,123,0.173759162,93,0.220538106,30,0.082546608,0.352820196,0.268411086
189,0.632550336,0.3386156,124,0.188908439,93,0.220538106,30,0.082546608,0.353416411,0.274190844
190,0.63590604,0.34753701,125,0.204057717,93,0.220538106,30,0.082546608,0.35461063,0.285767701
191,0.639261745,0.356486167,125,0.204057717,94,0.240840966,30,0.082546608,0.354795975,0.287564451
192,0.64261745,0.365463965,125,0.204057717,94,0.240840966,31,0.133901282,0.356777002,0.30676869
193,0.645973154,0.374471319,126,0.219206994,94,0.240840966,31,0.133901282,0.357757602,0.316274708
194,0.649328859,0.383509157,126,0.219206994,94,0.240840966,31,0.133901282,0.357990063,0.318528204
195,0.652684564,0.392578431,127,0.234356271,94,0.240840966,32,0.185255957,0.359230244,0.330550621
196,0.656040268,0.401680112,127,0.234356271,95,0.261143825,32,0.185255957,0.360741299,0.345198913
197,0.659395973,0.41081519,127,0.234356271,95,0.261143825,32,0.185255957,0.360867752,0.346424759
198,0.662751678,0.419984681,128,0.249505549,95,0.261143825,32,0.185255957,0.360957461,0.347294405
199,0.666107383,0.429189622,128,0.249505549,95,0.261143825,32,0.185255957,0.362114097,0.35850693
200,0.669463087,0.438431073,128,0.249505549,96,0.281446684,32,0.185255957,0.36225717,0.359893891
201,0.672818792,0.447710121,129,0.264654826,96,0.281446684,32,0.185255957,0.362790558,0.365064599
202,0.676174497,0.45702788,130,0.279804104,97,0.301749544,32,0.185255957,0.363427294,0.37123717
203,0.679530201,0.466385488,131,0.294953381,97,0.301749544,33,0.236610631,0.363996144,0.376751649
204,0.682885906,0.475784115,131,0.294953381,97,0.301749544,33,0.236610631,0.366574194,0.401743479
205,0.686241611,0.48522496,132,0.310102659,97,0.301749544,33,0.236610631,0.36708836,0.406727846
206,0.689597315,0.494709253,132,0.310102659,97,0.301749544,33,0.236610631,0.371642748,0.45087846
207,0.69295302,0.504238257,132,0.310102659,98,0.322052403,33,0.236610631,0.372924866,0.463307417
208,0.696308725,0.513813269,133,0.325251936,98,0.322052403,33,0.236610631,0.373707559,0.470894908
209,0.69966443,0.523435621,134,0.340401213,99,0.342355262,33,0.236610631,0.374713215,0.48064382
210,0.703020134,0.533106685,134,0.340401213,99,0.342355262,33,0.236610631,0.377143764,0.504205763
211,0.706375839,0.54282787,135,0.355550491,100,0.362658122,33,0.236610631,0.378018599,0.512686486
212,0.709731544,0.552600627,135,0.355550491,101,0.382960981,33,0.236610631,0.378484483,0.517202804
213,0.713087248,0.562426448,136,0.370699768,101,0.382960981,33,0.236610631,0.38088424,0.540466246
214,0.716442953,0.572306873,137,0.385849046,102,0.40326384,33,0.236610631,0.380925481,0.54086604
215,0.719798658,0.582243488,137,0.385849046,102,0.40326384,34,0.287965306,0.381304913,0.544544285
216,0.723154362,0.592237928,138,0.400998323,103,0.4235667,34,0.287965306,0.381474911,0.54619226
217,0.726510067,0.602291879,138,0.400998323,103,0.4235667,34,0.287965306,0.381634749,0.547741743
218,0.729865772,0.612407084,138,0.400998323,103,0.4235667,35,0.33931998,0.382098626,0.552238605
219,0.733221477,0.622585341,139,0.416147601,103,0.4235667,35,0.33931998,0.382385045,0.555015174
220,0.736577181,0.632828509,139,0.416147601,104,0.443869559,35,0.33931998,0.384382571,0.574379356
221,0.739932886,0.64313851,139,0.416147601,105,0.464172419,36,0.390674655,0.384481228,0.575335745
222,0.743288591,0.653517333,140,0.431296878,106,0.484475278,36,0.390674655,0.385524067,0.585445113
223,0.746644295,0.663967036,142,0.461595433,106,0.484475278,36,0.390674655,0.385611093,0.58628875
224,0.75,0.67448975,142,0.461595433,106,0.484475278,36,0.390674655,0.386760913,0.5974352
225,0.753355705,0.685087685,143,0.47674471,106,0.484475278,36,0.390674655,0.388219414,0.611574029
226,0.756711409,0.695763132,144,0.491893988,108,0.525080997,37,0.442029329,0.388358781,0.612925064
227,0.760067114,0.706518468,146,0.522192542,108,0.525080997,37,0.442029329,0.390117605,0.629975249
228,0.763422819,0.717356161,147,0.53734182,109,0.545383856,37,0.442029329,0.391977285,0.648003141
229,0.766778523,0.728278774,149,0.567640375,110,0.565686715,37,0.442029329,0.392158261,0.649757537
230,0.770134228,0.739288973,149,0.567640375,110,0.565686715,37,0.442029329,0.392290143,0.651036012
231,0.773489933,0.750389531,150,0.582789652,110,0.565686715,37,0.442029329,0.39329432,0.660770587
232,0.776845638,0.761583334,152,0.613088207,111,0.585989575,37,0.442029329,0.395764007,0.684711937
233,0.780201342,0.772873388,153,0.628237484,112,0.606292434,38,0.493384004,0.396366582,0.690553348
234,0.783557047,0.784262828,153,0.628237484,112,0.606292434,38,0.493384004,0.397567895,0.702198976
235,0.786912752,0.795754923,153,0.628237484,112,0.606292434,38,0.493384004,0.397906636,0.705482759
236,0.790268456,0.807353086,154,0.643386762,112,0.606292434,39,0.544738678,0.398232669,0.70864335
237,0.793624161,0.819060884,154,0.643386762,113,0.626595293,39,0.544738678,0.398502386,0.711258009
238,0.796979866,0.830882044,155,0.658536039,115,0.667201012,40,0.596093353,0.401962726,0.744802831
239,0.80033557,0.842820468,156,0.673685317,115,0.667201012,40,0.596093353,0.404680421,0.77114839
240,0.803691275,0.854880242,156,0.673685317,117,0.707806731,40,0.596093353,0.406069696,0.784616137
241,0.80704698,0.86706565,156,0.673685317,117,0.707806731,40,0.596093353,0.410770052,0.830181776
242,0.810402685,0.879381184,156,0.673685317,117,0.707806731,40,0.596093353,0.411212342,0.834469372
243,0.813758389,0.891831562,156,0.673685317,118,0.72810959,41,0.647448028,0.412284334,0.844861351
244,0.817114094,0.904421745,157,0.688834594,118,0.72810959,41,0.647448028,0.412565816,0.847590061
245,0.820469799,0.917156949,158,0.703983871,120,0.768715309,41,0.647448028,0.412852465,0.85036886
246,0.823825503,0.930042668,161,0.749431704,120,0.768715309,41,0.647448028,0.417350852,0.893976595
247,0.827181208,0.943084694,162,0.764580981,124,0.849926746,42,0.698802702,0.420084034,0.920472287
248,0.830536913,0.956289141,162,0.764580981,124,0.849926746,42,0.698802702,0.424678833,0.965014648
249,0.833892617,0.969662466,163,0.779730259,125,0.870229605,42,0.698802702,0.425562271,0.973578769
250,0.837248322,0.983211501,165,0.810028813,125,0.870229605,43,0.750157377,0.426419254,0.981886433
251,0.840604027,0.996943478,166,0.825178091,125,0.870229605,43,0.750157377,0.427137579,0.988849935
252,0.843959732,1.010866067,166,0.825178091,125,0.870229605,43,0.750157377,0.427679769,0.994105969
253,0.847315436,1.024987412,167,0.840327368,126,0.890532465,44,0.801512051,0.427836912,0.995629327
254,0.850671141,1.039316167,168,0.855476646,128,0.931138183,44,0.801512051,0.430132245,1.017880474
255,0.854026846,1.05386155,169,0.870625923,129,0.951441043,44,0.801512051,0.433291329,1.048504895
256,0.85738255,1.068633384,169,0.870625923,129,0.951441043,44,0.801512051,0.435002543,1.065093545
257,0.860738255,1.08364216,170,0.8857752,129,0.951441043,44,0.801512051,0.435063633,1.065685757
258,0.86409396,1.098899097,170,0.8857752,131,0.992046761,45,0.852866726,0.441968035,1.1326176
